Caption	Description	Identifying Number	Install Date	Install Location	Install State	Name	Package Cache	SKU Number	Vendor	Version
Microsoft SQL Server 2008 R2 Native Client	Microsoft SQL Server 2008 R2 Native Client	{471AAD2C-9078-4DAC-BD43-FA10FB7C3FCE}		5	Microsoft SQL Server 2008 R2 Native Client	c:\Windows\Installer\c172f24.msi		Microsoft Corporation	10.51.2500.0
tools-windows	tools-windows	{FFD9383C-01D5-4897-A954-43AF599AED30}		5	tools-windows	C:\Windows\Installer\4a04a1.msi		VMware, Inc.	8.8.4.744019
Roxio Update Manager	Roxio Update Manager	{30465B6C-B53F-49A1-9EBA-A3F187AD502E}	C:\Program Files (x86)\Roxio\Update Manager\	5	Roxio Update Manager	C:\Windows\Installer\335306.msi		Roxio	6.0.0
SQL Server 2008 R2 SP1 Database Engine Shared	SQL Server 2008 R2 SP1 Database Engine Shared	{A2122A9C-A699-4365-ADF8-68FEAC125D61}		5	SQL Server 2008 R2 SP1 Database Engine Shared	c:\Windows\Installer\c172f5e.msi		Microsoft Corporation	10.51.2500.0
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148	{1F1C2DFC-2D24-3E06-BCB8-725134ADF989}		5	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148	c:\Windows\Installer\4a046f.msi		Microsoft Corporation	9.0.30729.4148
SQL Server 2008 R2 SP1 Common Files	SQL Server 2008 R2 SP1 Common Files	{234F6B0D-10AE-4BB7-B2F3-E48D4861952D}		5	SQL Server 2008 R2 SP1 Common Files	c:\Windows\Installer\c172f66.msi		Microsoft Corporation	10.51.2500.0
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17	{9A25302D-30C0-39D9-BD6F-21E6EC160475}		5	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17	c:\Windows\Installer\50555.msi		Microsoft Corporation	9.0.30729
Microsoft Silverlight	Microsoft Silverlight	{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00}	c:\Program Files\Microsoft Silverlight\	5	Microsoft Silverlight	c:\Windows\Installer\504ec.msi		Microsoft Corporation	5.1.10411.0
tools-freebsd	tools-freebsd	{003BFBBD-6C67-419E-A24D-0DCAFC3A5249}		5	tools-freebsd	C:\Windows\Installer\4a0489.msi		VMware, Inc.	8.8.4.744019
MSXML 4.0 SP2 (KB954430)	MSXML 4.0 SP2 (KB954430)	{86493ADD-824D-4B8E-BD72-8C5DCDC52A71}		5	MSXML 4.0 SP2 (KB954430)	c:\Windows\Installer\2a4e9.msi		Microsoft Corporation	4.20.9870.0
Microsoft .NET Framework 4 Client Profile	Microsoft .NET Framework 4 Client Profile	{F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}		5	Microsoft .NET Framework 4 Client Profile	C:\Windows\Installer\4688c.msi		Microsoft Corporation	4.0.30319
OutlookAddIn2007Setup	OutlookAddIn2007Setup	{95EC8B8E-141B-4286-BC74-290B1340DD2B}		5	OutlookAddIn2007Setup	C:\Windows\Installer\3ea23.msi		US Army	1.0.0
DBsign Web Signer	DBsign Web Signer	{F522E59E-7168-4B4A-885E-1030009BEE56}		5	DBsign Web Signer	C:\Windows\Installer\1546e2.msi		Gradkell Systems, Inc.	3.0
Microsoft SQL Server 2008 R2 RsFx Driver	Microsoft SQL Server 2008 R2 RsFx Driver	{D8C23BDE-4748-44D9-A9DD-8AB64EB18BE3}		5	Microsoft SQL Server 2008 R2 RsFx Driver	c:\Windows\Installer\c172f7e.msi		Microsoft Corporation	10.51.2500.0
Microsoft Visual J# 2.0 Redistributable Package - SE (x64)	Microsoft Visual J# 2.0 Redistributable Package - SE (x64)	{B0A5A6EE-F8BA-48B1-BB32-BAC17E96C2B4}		5	Microsoft Visual J# 2.0 Redistributable Package - SE (x64)	C:\Windows\Installer\1e061c.msi		Microsoft Corporation	2.0.50728
Microsoft SQL Server VSS Writer	Microsoft SQL Server VSS Writer	{288D79EE-A2D1-42AF-9597-B0ADCC23A8ED}		5	Microsoft SQL Server VSS Writer	c:\Windows\Installer\c172f37.msi		Microsoft Corporation	10.51.2500.0
SQL Server 2008 R2 SP1 Common Files	SQL Server 2008 R2 SP1 Common Files	{36F70DEE-1EBF-4707-AFA2-E035EEAEBAA1}		5	SQL Server 2008 R2 SP1 Common Files	c:\Windows\Installer\c172f56.msi		Microsoft Corporation	10.51.2500.0
Microsoft NetBanner	Microsoft NetBanner	{577552FE-AA33-4914-90A4-5C995847BB8E}		5	Microsoft NetBanner	C:\Windows\Installer\4a0469.msi		Microsoft Corporation	2.1.161
VMware vSphere Host Update Utility 4.0	VMware vSphere Host Update Utility 4.0	{9BC51C0F-DA8E-4370-9997-899B3435A647}	C:\Program Files (x86)\VMware\Infrastructure\	5	VMware vSphere Host Update Utility 4.0	C:\Windows\Installer\1e0626.msi		VMware, Inc.	4.0.0.10021
Roxio Express Labeler 3	Roxio Express Labeler 3	{6675CA7F-E51B-4F6A-99D4-F8F0124C6EAA}	C:\Program Files (x86)\Roxio\Express Labeler 3\	5	Roxio Express Labeler 3	C:\Windows\Installer\335339.msi		Roxio	3.2.1
Cisco Systems VPN Client 5.0.07.0440	Cisco Systems VPN Client 5.0.07.0440	{5FDC06BF-3D3D-4367-8FFB-4FAFCB61972D}	C:\Program Files (x86)\Cisco Systems\VPN Client\	5	Cisco Systems VPN Client 5.0.07.0440	C:\Windows\Installer\55712.msi		Cisco Systems, Inc.	5.0.7
Sql Server Customer Experience Improvement Program	Sql Server Customer Experience Improvement Program	{F31183CF-E10F-4DE1-BB59-6C0FF38E481E}		5	Sql Server Customer Experience Improvement Program	c:\Windows\Installer\c172f3e.msi		Microsoft Corporation	10.50.1600.1
